No;Urun Adi
1;Ankastre Süt Potu Duşlama Ünitesi Setüstü Paslanmaz Çelik 40 x 20
2;Ariete 0898/11 Multifonksiyonel El Blender Seti, 1000 W, Gümüş
3;Atilla Narin Türk Kahvesi AtlasI
4;Bar Konteyner 3 Gözlü Kapaklı Polikarbon Siyah
5;Barista İbriği (Kettle) 1200 ML Siyah Kapaklı
6;Bezzera ARCADIA DE Tall Cup Tam Otomatik Espresso Kahve Makinesi, 2 Gruplu
7;Bezzera ARCADIA DE Tall Cup Tam Otomatik Espresso Kahve Makinesi, 3 Gruplu
8;Bezzera Arcadia DE PID Tall Cup Tam Otomatik Espresso Kahve Makinesi, 2 Gruplu, Mat Siyah
9;Bezzera B2016DE Tall Cup Espresso Kahve Makinesi, 2 Gruplu + Cunill Tranquilo Tron Kahve Değirmeni
10;Biradlı Kokteyl Shaker Çelik 350 cl Altın Renk
11;Biradlı Kokteyl Shaker Çelik 500 cl Altın Renk
12;Biradlı Kokteyl Shaker Çelik 700 cl Altın Renk
13;CSA CS-KRP 2-700 Krep Buzdolabı, 2 Kapılı, 281 L
14;CafeGastro Hassas Kahve Tartısı Çok Fonksiyonlu Dijital Siyah
15;Cam Kahve Demleme
16;Cancan 0801 Ananas Soyma Makinesi
17;Casadio Undici A2 Tall Cup Espresso Kahve Makinesi Otomatik
18;Celme FA250 Gıda Dilimleme Makinesi
19;Cimbali M23 UP C/2 Yarı Otomatik Espresso Kahve Makinesi, 2 Gruplu
20;Conti Monaco ACE-D 1 Tam Otomatik Espresso Kahve Makinesi, 1 Gruplu, Yeşil
21;Conti Monaco MC Ultima Tam Otomatik Espresso Makinesi, 3 Gruplu, Beyaz
22;Dev Mikser Kıyma Makinesi NO12 Soğutmasız 230V
23;Dev Mikser Kıyma Makinesi NO22 Soğutmalı 220V
24;Dev Mikser Kıyma Makinesi NO22 Soğutmasız 220V
25;Dev Mikser Kıyma Makinesi NO22 Soğutmasız 380V
26;Dito Sama TR210 Sebze Kesme Makinesi, Çift Devirli, Otomatik Silolu, Standlı, Saatte 800-2100 kg Kapasiteli
27;Dito Sama TR210 Sebze Kesme Makinesi, Çift Devirli, Saatte 800-2100 kg Kapasiteli
28;Dr.Coffee BR9CI Süt Soğutucu, Kendini Temizleme Sistemli, 8 L
29;El Mikseri 40 cm Tüp Uzunluğu Çırpıcılı Siyah
30;Empero 500 Tabak Tezgah Altı Bulaşık Yıkama Makinesi
31;Empero Giyotin Tip Bulaşık Yıkama Makinesi
32;Empero Pizza Fırını Alt Standı 1190 x 730 x 850 mm
33;Empero Pizza Fırını Alt Standı 1250 x 1120 x 850 mm
34;Empero Pizza Fırını Alt Standı 825 x 610 x 850 mm
35;Escobarista Barista Space Latte Pitcher 600 ML Altın Sarı
36;Escobarista Barista Space Latte Pitcher 600 ML Saks Mavi
37;Eureka Zenith Club E On Demand Kahve Değirmeni
38;Faema E61 Legend S/1 Jubile Yarı Otomatik Espresso Kahve Makinesi, 1 Gruplu
